_id,crime_id,timestamp,location.type,location.coordinates[0],location.coordinates[1],crime_type,description,severity,status,officer_in_charge.name,officer_in_charge.badge,evidence[0],evidence[1],evidence[2],tags[0],tags[1],tags[2],witnesses[0].name,witnesses[1].name,witnesses[2].name,witnesses[0].contact,witnesses[1].contact,witnesses[2].contact
67e0f450f10dbf0e224c9b6f,CID_001,2025-03-06T05:43:10.615Z,Point,80.29881,12.906673,Fraud,Online scam reported,Medium,Closed,Officer Priya,TNPD-691,DNA Sample,Weapon Found,,violence,cyber,organized_crime,,,,,,
67e0f450f10dbf0e224c9b70,CID_002,2025-02-24T05:43:10.615Z,Point,80.14392,13.092454,Extortion,Business owner threatened for money,High,Under Investigation,Officer Priya,TNPD-375,Phone Records,Weapon Found,CCTV Footage,organized_crime,narcotics,public_disturbance,Person 80,Person 100,Person 27,+917405924967,+918808281675,+918042479629
67e0f450f10dbf0e224c9b71,CID_003,2025-03-24T05:43:10.615Z,Point,80.115658,12.978864,Assault,Physical altercation outside a pub,High,Open,Sub-Inspector Kumar,TNPD-411,Weapon Found,Eyewitness Testimony,,financial,public_disturbance,,Person 16,Person 96,Person 62,+917692187115,+917828614765,+918022946382
67e0f450f10dbf0e224c9b72,CID_004,2025-02-28T05:43:10.615Z,Point,80.22065,12.964902,Assault,Physical altercation outside a pub,High,Open,Sub-Inspector Kumar,TNPD-812,Weapon Found,Eyewitness Testimony,,night,,,Person 18,Person 4,,+916819021719,+916995012499,
67e0f450f10dbf0e224c9b73,CID_005,2025-03-20T05:43:10.615Z,Point,80.128184,13.091908,Extortion,Criminal gang demanding protection money,High,Open,Officer Priya,TNPD-930,CCTV Footage,Eyewitness Testimony,,day,cyber,,,,,,,
67e0f450f10dbf0e224c9b74,CID_006,2025-03-18T05:43:10.615Z,Point,80.152449,12.915957,Human Trafficking,Illegal trafficking operation uncovered,Critical,Under Investigation,Narcotics Officer Surya,TNPD-100,DNA Sample,Eyewitness Testimony,Phone Records,organized_crime,day,,Person 76,,,+918355311150,,
67e0f450f10dbf0e224c9b75,CID_007,2025-03-07T05:43:10.615Z,Point,80.124808,12.959662,Extortion,Business owner threatened for money,High,Open,Inspector Meera,TNPD-306,CCTV Footage,Phone Records,Weapon Found,financial,night,violence,Person 84,,,+918519905403,,
67e0f450f10dbf0e224c9b76,CID_008,2025-03-09T05:43:10.615Z,Point,80.144632,12.99563,Extortion,Business owner threatened for money,High,Open,Inspector Meera,TNPD-279,Phone Records,,,public_disturbance,,,,,,,,
67e0f450f10dbf0e224c9b77,CID_009,2025-02-26T05:43:10.615Z,Point,80.15164,12.925755,Extortion,Criminal gang demanding protection money,High,Pending Review,Officer Priya,TNPD-841,Weapon Found,,,public_disturbance,,,Person 65,,,+918043783335,,
67e0f450f10dbf0e224c9b78,CID_010,2025-03-04T05:43:10.615Z,Point,80.238999,13.053707,Hit and Run,Cyclist injured in hit-and-run accident,Critical,Under Investigation,Inspector Ramesh,TNPD-724,DNA Sample,Weapon Found,CCTV Footage,financial,violence,organized_crime,,,,,,
67e0f450f10dbf0e224c9b79,CID_011,2025-03-13T05:43:10.615Z,Point,80.159264,13.016468,Kidnapping,Child kidnapping attempt foiled,Critical,Open,Inspector Suresh,TNPD-377,Eyewitness Testimony,Weapon Found,DNA Sample,violence,narcotics,,Person 77,Person 62,,+916047362557,+919242886553,
67e0f450f10dbf0e224c9b7a,CID_012,2025-03-06T05:43:10.615Z,Point,80.134894,13.011122,Vandalism,Car vandalism in parking lot,Low,Pending Review,Officer Vijay,TNPD-138,Eyewitness Testimony,Weapon Found,,day,,,Person 53,Person 14,,+919397943732,+918583243149,
67e0f450f10dbf0e224c9b7b,CID_013,2025-03-04T05:43:10.615Z,Point,80.13228,12.954664,Vandalism,Graffiti on government buildings,Low,Open,Inspector Suresh,TNPD-884,DNA Sample,,,night,public_disturbance,narcotics,,,,,,
67e0f450f10dbf0e224c9b7c,CID_014,2025-02-25T05:43:10.615Z,Point,80.196062,12.959772,Assault,Domestic violence reported,High,Closed,Officer Anita,TNPD-499,Phone Records,Eyewitness Testimony,,public_disturbance,,,Person 99,,,+916575052882,,
67e0f450f10dbf0e224c9b7d,CID_015,2025-03-07T05:43:10.615Z,Point,80.239569,12.93595,Vandalism,Car vandalism in parking lot,Low,Under Investigation,Inspector Suresh,TNPD-196,Phone Records,Weapon Found,,financial,,,,,,,,
67e0f450f10dbf0e224c9b7e,CID_016,2025-03-02T05:43:10.615Z,Point,80.195171,13.014965,Kidnapping,Child kidnapping attempt foiled,Critical,Under Investigation,Officer Vijay,TNPD-904,DNA Sample,,,narcotics,,,Person 73,Person 50,Person 74,+919440948276,+918401547636,+919844637372
67e0f450f10dbf0e224c9b7f,CID_017,2025-03-10T05:43:10.615Z,Point,80.146964,12.928398,Extortion,Business owner threatened for money,High,Pending Review,Officer Priya,TNPD-258,DNA Sample,Phone Records,,street_crime,,,,,,,,
67e0f450f10dbf0e224c9b80,CID_018,2025-03-09T05:43:10.615Z,Point,80.225753,12.960745,Theft,Vehicle theft in parking lot,Medium,Open,Officer Vijay,TNPD-204,Weapon Found,,,narcotics,cyber,,,,,,,
67e0f450f10dbf0e224c9b81,CID_019,2025-03-01T05:43:10.615Z,Point,80.209219,13.002015,Hit and Run,Speeding vehicle hit pedestrian and fled,Critical,Under Investigation,Inspector Ramesh,TNPD-342,Eyewitness Testimony,Phone Records,Weapon Found,financial,night,narcotics,,,,,,
67e0f450f10dbf0e224c9b82,CID_020,2025-03-18T05:43:10.615Z,Point,80.166227,12.924918,Vandalism,Graffiti on government buildings,Low,Pending Review,Inspector Suresh,TNPD-495,Phone Records,Eyewitness Testimony,DNA Sample,day,street_crime,property_crime,Person 92,Person 26,Person 47,+918249685456,+918717204262,+916640166037
